Source Bond,Source Bond,Auction Date,Settlement Date,Destination Bond,Highest Yield Allocated,Lowest Yield Allocated,Highest Yield Allocated in Full,Weighted Average Yield,Total Destination Amount Allocated,Worst Bid Yield,Nominal of Source Bond Switched,Total Number of Bids Received,Total Amount of All Bids Received,Total Number of Successful Bids
I2025,I2025 (2.00%:2025),2024/02/15,2024/02/20,I2029,4.41,4.4,4.41,4.40544,7441,4.52,6800,33,10975,17
I2025,I2025 (2.00%:2025),2024/03/14,2024/03/19,I2029,4.52,4.51,4.52,4.51534,3186,4.6,2895,18,5545,8
I2025,I2025 (2.00%:2025),2024/03/14,2024/03/19,I2038,5.11,5.1,5.11,5.10983,1944,5.18,1430,18,4590,6
I2025,I2025 (2.00%:2025),2024/03/14,2024/03/19,I2043,5.11,5.11,5.11,5.11,972,5.18,1000,14,4825,2
I2025,I2025 (2.00%:2025),2024/04/18,2024/04/23,I2029,0,0,0,0,0,4.50161,0,8,310,0
I2025,I2025 (2.00%:2025),2024/04/18,2024/04/23,I2038,5.13,5.1,5.13,5.11714,4785,5.2,3500,17,4660,7
I2025,I2025 (2.00%:2025),2024/04/18,2024/04/23,I2050,5.12,5.1,5.12,5.112,1944,5.12381,2500,13,4550,5
I2025,I2025 (2.00%:2025),2024/05/16,2024/05/21,I2029,4.52,4.51,4.52,4.51534,3186,4.6,2895,18,5545,8
I2025,I2025 (2.00%:2025),2024/05/16,2024/05/21,I2038,5.11,5.1,5.11,5.10983,1944,5.18,1430,18,4590,6
I2025,I2025 (2.00%:2025),2024/05/16,2024/05/21,I2043,5.11,5.11,5.11,5.11,972,5.18,1000,14,4825,2
I2025,I2025 (2.00%:2025),2024/06/20,2024/06/25,I2029,4.45,4.43,4.45,4.449,1482,4.57,1335,14,3665,3
I2025,I2025 (2.00%:2025),2024/06/20,2024/06/25,I2046,5.07,5.02,5.07,5.069,1915,5.15,1290,14,1940,8
I2025,I2025 (2.00%:2025),2024/06/20,2024/06/25,I2050,5.06,5.02,5.06,5.051,103,5.1,65,7,555,2
I2025,I2025 (2.00%:2025),2024/07/25,2024/07/30,I2029,4.73,4.7,4.73,4.71279,1213,4.8,1095,21,3550,8
I2025,I2025 (2.00%:2025),2024/07/25,2024/07/30,I2033,4.99,4.95,4.99,4.9682,688,5.02,555,14,685,11
I2025,I2025 (2.00%:2025),2024/07/25,2024/07/30,I2050,5.05,5,5.05,5.03849,2718,5.07,1750,15,1815,13
I2025,I2025 (2.00%:2025),2024/08/15,2024/08/20,I2029,4.51,4.45,4.51,4.47906,1114,4.57,1015,18,1495,14
I2025,I2025 (2.00%:2025),2024/08/15,2024/08/20,I2033,4.91,4.87,4.91,4.89875,494,4.92,400,5,500,4
I2025,I2025 (2.00%:2025),2024/09/26,2024/10/01,I2029,4.36,4.3,4.36,4.35093,2007,4.4,1820,14,2055,12
I2025,I2025 (2.00%:2025),2024/09/26,2024/10/01,I2038,4.82,4.81,4.82,4.81978,1495,4.88,1135,7,1235,6
I2025,I2025 (2.00%:2025),2024/10/17,2024/10/22,I2029,4.5,4.48,4.5,4.496,3283,4.55,2960,7,3160,5
I2025,I2025 (2.00%:2025),2024/10/17,2024/10/22,I2038,4.95,4.91,4.95,4.92333,599,5,450,3,500,2
I2025,I2025 (2.00%:2025),2024/10/17,2024/10/22,I2046,4.96,4.92,4.96,4.95739,1347,4.96,920,8,920,8
I2025,I2025 (2.00%:2025),2024/11/14,2024/11/19,I2029,4.72,4.66,4.72,4.69841,475,4.77,425,17,700,9
I2025,I2025 (2.00%:2025),2024/11/14,2024/11/19,I2046,5.09,5.065,5.09,5.08,841,5.1,565,8,575,7
I2025,I2025 (2.00%:2025),2024/11/14,2024/11/19,I2050,5.1,5.08,5.1,5.09188,250,5.11,160,5,210,4
I2025,I2025 (2.00%:2025),2024/12/05,2024/12/10,I2029,4.65,4.61,4.65,4.63798,991,4.65,890,8,890,8
I2025,I2025 (2.00%:2025),2024/12/05,2024/12/10,I2046,4.88,4.88,4.88,4.88,79,4.88,55,1,55,1
I2025,I2025 (2.00%:2025),2024/12/05,2024/12/10,I2050,4.88,4.88,4.88,4.88,113,4.89,75,3,85,2
R_186,R186 (10.50%:2026),2024/02/15,2024/02/20,R_2035,11.7,11.69,11.7,11.69553,6019,11.79,4700,32,10500,12
R_186,R186 (10.50%:2026),2024/02/15,2024/02/20,R_2037,12.1,12.1,12.1,12.1,822,12.2,600,24,5005,2
R_186,R186 (10.50%:2026),2024/02/15,2024/02/20,R_2053,12.44,12.43,12.44,12.4367,1551,12.53,1440,33,5215,6
R_186,R186 (10.50%:2026),2024/03/14,2024/03/19,R_2032,11.07,11.025,11.07,11.05984,1904,11.225,1600,20,4305,4
R_186,R186 (10.50%:2026),2024/03/14,2024/03/19,R_2048,12.69,12.685,12.69,12.6885,2143,12.711,1430,19,5115,5
R_186,R186 (10.50%:2026),2024/03/14,2024/03/19,R_2053,12.63,12.61,12.63,12.62268,2224,12.72,2050,14,3925,5
